"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"1110038B12Rik",1820.07582839161,0.0814412556640377,0.119592907379191,0.144274936622663,0.321553628426453,FALSE,"ns"
"1110038F14Rik",933.562185454444,-0.0368121957974852,0.0591827856539745,0.452800389947827,0.645545075828123,FALSE,"ns"
"1110046J04Rik",176.681764487608,-0.0139807116184871,0.0923857233776981,0.751850867326074,0.863894482693796,FALSE,"ns"
"1110051M20Rik",1381.38036667368,-0.0490417640597507,0.0458841910087562,0.230363270858192,0.429661907182449,FALSE,"ns"
"1110059E24Rik",1054.61699992464,-0.108040282210408,0.0641121850402333,0.0417321925609997,0.149779667930711,FALSE,"ns"
"1110059G10Rik",563.489196407331,0.0883293504930976,0.0857297390936505,0.141860885763257,0.31769085126009,FALSE,"ns"
"1110065P20Rik",317.26578364336,-0.0715663592518417,0.111723521921648,0.187052543343652,0.378434338577684,FALSE,"ns"
"1190002F15Rik",76.6086567016511,-0.617993333532003,0.20229441932977,9.69480734589824e-05,0.00684422897795265,FALSE,"ns"
"1190002N15Rik",5204.09078209217,-0.00224310641989789,0.0918699773169055,0.940681597223877,0.971733798377017,FALSE,"ns"
"1190007I07Rik",68.0330874741711,0.017258229315252,0.0888224634850259,0.724322175150972,0.846085733681919,FALSE,"ns"
"1200014J11Rik",1670.52267568786,-0.00717731792282674,0.0521861766376716,0.875117260907769,0.93768037849439,FALSE,"ns"
"1300002E11Rik",232.883009123756,0.34426220165881,0.132743512668602,0.000683778603196384,0.0162950152368827,FALSE,"ns"
"1500004A13Rik",80.3537733307172,0.0161384988001613,0.0893386274423153,0.737117210975317,0.854432862145366,FALSE,"ns"
"1500009L16Rik",18.3703724864711,-0.0606519569396271,0.124993381981494,0.0739240679829141,0.212098988926033,FALSE,"ns"
"1500011B03Rik",261.847226511266,0.0502276637403888,0.110459034527896,0.235029169871836,0.435145788669798,FALSE,"ns"
"1500011K16Rik",438.730986474692,0.0001708198120352,0.0791701129129642,0.995025068410131,0.997230657876148,FALSE,"ns"
"1500012F01Rik",1706.27827621921,0.0540971855172999,0.102329698130876,0.305252796247617,0.511978294412204,FALSE,"ns"
"1500015A07Rik",55.4543925259218,0.0145616188722889,0.103625265291344,0.537683414369378,0.714385499636307,FALSE,"ns"
"1500015O10Rik",29.8000841343662,-0.138066552879162,0.33608437770438,0.00137687855757549,0.0231407628352139,FALSE,"ns"
"1500017E21Rik",76.8535441503157,0.128075055811125,0.18491673083309,0.043041389048783,0.152642130485817,FALSE,"ns"
"1600002H07Rik",304.43133502723,-0.0560217821193262,0.0723201680493018,0.30869120925645,0.515415654625057,FALSE,"ns"
"1600002K03Rik",190.859336796214,0.0365764458866093,0.0960433370646614,0.450856148500704,0.643967954154818,FALSE,"ns"
"1600012H06Rik",1624.22162266702,0.0825434246101345,0.0497198128103219,0.0599767270249509,0.186354228614018,FALSE,"ns"
"1600014C10Rik",667.340522011486,0.0667068102493497,0.0946771964636287,0.248576118047843,0.451618409289638,FALSE,"ns"
"1600020E01Rik",199.392241411866,0.0102705203134447,0.0907929828797084,0.82383986862891,0.907823208459724,FALSE,"ns"
"1600027J07Rik",9.36598759943846,-0.080728816133485,0.157023471459277,0.000311927315079097,NA,FALSE,NA
"1700001G17Rik",4.42205364658536,0.00496743207134788,0.103448984543372,0.78869218969539,NA,FALSE,NA
"1700001K19Rik",9.5831425799055,-0.0280603166082155,0.108490902127025,0.171186905404576,NA,FALSE,NA
"1700001L05Rik",41.4703500096222,0.762827126370328,0.278975228762242,0.000242301411922092,0.00970106141612991,FALSE,"ns"
"1700001O22Rik",9.19853450822882,0.0402590803947329,0.11176068902896,0.168638620277934,NA,FALSE,NA
"1700003E16Rik",97.6639601526713,0.0482507473144117,0.0948668994410558,0.362408896584301,0.564359317341254,FALSE,"ns"
"1700003F12Rik",63.6681474314316,0.143235390647656,0.25351430711884,0.0195969291089639,0.0960220233470607,FALSE,"ns"
"1700007J10Rik",28.1437015719932,-0.0108570856692968,0.102474896813089,0.667171298828963,0.808423442403231,FALSE,"ns"
"1700007K13Rik",11.4936414485956,0.018557947738586,0.103324501239594,0.504923212981452,NA,FALSE,NA
"1700007L15Rik",36.2454195177574,-0.0597697815940397,0.109591938486042,0.219469870920581,0.417975666396511,FALSE,"ns"
"1700008J07Rik",15.3907789696335,-0.0148242404956106,0.101622186679703,0.621371983876266,0.776611329004441,FALSE,"ns"
"1700009N14Rik",4.51051198455068,0.00894717033727011,0.104042148295408,0.613366977387448,NA,FALSE,NA
"1700012B09Rik",88.1748002317846,0.0336222289352762,0.107177014490877,0.290769497565768,0.497013258097077,FALSE,"ns"
"1700012D01Rik",22.0257456769717,0.0275928633709994,0.104405714948099,0.394287243234338,0.594924549285229,FALSE,"ns"
"1700012D14Rik",6.47025542542747,0.0170268366279213,0.105197851453206,0.379520593160199,NA,FALSE,NA
"1700017B05Rik",2599.93661491226,0.0563596563802615,0.0811824444408603,0.340389103149634,0.544956251998672,FALSE,"ns"
"1700018A04Rik",10.7189134885926,0.0243081014765571,0.105220657396186,0.368594199419409,NA,FALSE,NA
"1700019G17Rik",16.4828095002665,0.0255998329837343,0.104834839642954,0.388504011849234,0.590239032325968,FALSE,"ns"
"1700019L03Rik",155.540819624604,0.0499495069586181,0.117321792250816,0.108180578013997,0.26946499599535,FALSE,"ns"
"1700020I14Rik",886.890901807518,-0.0214282690781074,0.0907922475385938,0.663899446214608,0.80602310544129,FALSE,"ns"
"1700020L24Rik",185.320749504272,0.0410211811540881,0.106284151730735,0.310531065234668,0.517696545118496,FALSE,"ns"
"1700021F05Rik",914.879682195177,-0.0881812302447048,0.0618645857868968,0.0781175142597278,0.219672015793301,FALSE,"ns"
"1700021K19Rik",2495.27514864907,-0.0509257913887568,0.0358182082608658,0.128307279526084,0.298768433519094,FALSE,"ns"
"1700024P16Rik",47.2957149735435,0.0107396788701483,0.100017902070537,0.733188934498286,0.851286045261801,FALSE,"ns"
"1700025G04Rik",518.347403259592,-0.111992740573285,0.105865022490397,0.0872678450982256,0.23563755867544,FALSE,"ns"
"1700026D08Rik",52.9923041966053,0.0436694212543094,0.117119724723955,0.0257596077949366,0.113296567243655,FALSE,"ns"
"1700026L06Rik",5.78282677849606,0.0179830446836472,0.105488912945273,0.341320178346352,NA,FALSE,NA
"1700028J19Rik",16.6774832111399,0.00137250008928494,0.0980919906117762,0.953428812090882,0.978323000751176,FALSE,"ns"
"1700028K03Rik",8.12902368298633,0.0619234313686026,0.129833933566757,0.0243880135151561,NA,FALSE,NA
"1700029I15Rik",12.1492917657087,-0.0045852921371136,0.101011070781587,0.848964752302522,0.923173480858407,FALSE,"ns"
"1700029J03Rik",13.4121125876417,-0.0602572655063361,0.127768379472149,0.0305310409347516,0.124594773960928,FALSE,"ns"
"1700029J07Rik",31.3712562480836,0.032008401911523,0.103665681593295,0.39106808589038,0.59204303685425,FALSE,"ns"
"1700030J22Rik",86.7411631874855,0.0394867661887162,0.0915960534372423,0.457019257000421,0.649375433223832,FALSE,"ns"
"1700030K09Rik",417.918995727526,0.0161577655573196,0.0592868933830919,0.73778799965796,0.854960340390206,FALSE,"ns"
"1700031A10Rik",7.06554236530406,-0.000848062017946188,0.101857159622344,0.969701811460902,NA,FALSE,NA
"1700037C18Rik",57.3096923555561,-0.12056088000182,0.136250167725147,0.0684926728248147,0.202377713871978,FALSE,"ns"
"1700037H04Rik",1102.02177679381,0.0878886274318707,0.0910996147030197,0.143900286348737,0.321215620463848,FALSE,"ns"
"1700048M11Rik",11.6074583763852,-0.00862625615186448,0.101555832254368,0.750451037273945,NA,FALSE,NA
"1700049G17Rik",233.82385568092,0.0704755758698146,0.0988606065069541,0.222432903257517,0.420978670252968,FALSE,"ns"
"1700052K11Rik",228.35065208669,-0.0436415909408568,0.0762725793746424,0.41907555405633,0.61754536578856,FALSE,"ns"
"1700056E22Rik",19.6181383481285,0.0349483026738331,0.107152968216951,0.293218650871265,0.500207047803771,FALSE,"ns"
"1700061G19Rik",10.7610664366671,-0.00818798046388755,0.102169142050611,0.745261760869121,NA,FALSE,NA
"1700065J18Rik",12.7901162999128,-0.0177484962789881,0.104312126780887,0.453181827556067,0.645812425053271,FALSE,"ns"
"1700066M21Rik",581.15489673629,-0.00254987827962666,0.090442598864856,0.933157319811413,0.967696834654164,FALSE,"ns"
"1700067K01Rik",13.6421605577786,0.00600882109124109,0.102443452979848,0.811026687850073,0.899981471662242,FALSE,"ns"
"1700086O06Rik",16.7203554085776,0.00690494266377996,0.101032375339359,0.811080639778123,0.899981471662242,FALSE,"ns"
"1700088E04Rik",31.5679958001519,0.0164878625340999,0.100650248491739,0.621147240741903,0.776404444290547,FALSE,"ns"
"1700093K21Rik",50.5829969290332,0.0223102920690041,0.0994215674932263,0.571693250480757,0.739427846320628,FALSE,"ns"
"1700094D03Rik",104.596882995228,0.271568691892885,0.194463348947413,0.00964255671131911,0.0634386370290096,FALSE,"ns"
"1700096K18Rik",37.3523395716172,0.545272686946607,0.298454661236969,0.00230629939458577,0.0303633346043924,FALSE,"ns"
"1700101I11Rik",7.52820025742732,-0.00871099450261128,0.10243162915297,0.724489548091887,NA,FALSE,NA
"1700102P08Rik",15.048298812677,-0.0883922816775213,0.155617440643188,0.0265290121974039,0.115363938789413,FALSE,"ns"
"1700108F19Rik",7.7891785391212,0.00939371572834736,0.103379764495219,0.656509149950977,NA,FALSE,NA
"1700109H08Rik",15.5410682985139,0.00297103694813949,0.100913306639009,0.915891901971314,0.958127861707984,FALSE,"ns"
"1700109K24Rik",80.9606486812614,-0.0201378951502173,0.0994903486177889,0.589776999108117,0.753939359686617,FALSE,"ns"
"1700112E06Rik",71.017620402997,0.000367953331564103,0.0972405494453475,0.993049772503553,0.996164686486618,FALSE,"ns"
"1700113A16Rik",576.25977982939,-0.0278153318493275,0.0793746388900803,0.602035251126693,0.762615620975442,FALSE,"ns"
"1700120K04Rik",18.4512537012664,-0.0482631081447123,0.114475178794844,0.160576667267003,0.344539561643748,FALSE,"ns"
"1700123M08Rik",37.4658959773288,-0.00866093541518555,0.0949610247357382,0.830012924533082,0.911332227975027,FALSE,"ns"
"1700123O20Rik",1132.22194707977,-0.0244250201582723,0.0773178784779192,0.646709116762775,0.794461109321839,FALSE,"ns"
"1810010H24Rik",25.5144788700303,0.0332354537131646,0.10240382045895,0.404520349404032,0.603721913019414,FALSE,"ns"
"1810011O10Rik",156.27283737894,0.0558615284958768,0.0901504046600944,0.324681555165871,0.531280747406616,FALSE,"ns"
"1810013L24Rik",2234.77256719075,0.00555269601127639,0.058926116051172,0.913721230584578,0.957049114334481,FALSE,"ns"
"1810014B01Rik",101.798444336566,0.00459954267139989,0.083448886374217,0.928502236270449,0.965383599652023,FALSE,"ns"
"1810021B22Rik",44.0729863128496,0.0260098640451739,0.097117743508907,0.545508229237608,0.720602851275792,FALSE,"ns"
"1810022K09Rik",884.221403896721,0.0318621538798376,0.0556034721554392,0.501663404632883,0.687358334978605,FALSE,"ns"
"1810024B03Rik",11.9762588556436,0.0215691592369166,0.104406932594518,0.429109360509466,0.626681850851045,FALSE,"ns"
"1810026B05Rik",301.83608433083,0.0502957063451927,0.0687920809829756,0.352187635791668,0.555167622084678,FALSE,"ns"
"1810026J23Rik",2830.78607592208,-0.0475631552052144,0.0572368333192112,0.32167012514924,0.528870054038474,FALSE,"ns"
