"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu03430","Mismatch repair",22,-0.784167591192045,-2.19313408358858,1.2033101267045e-06,1.87372576872558e-05,1.32695853571424e-05,2109,"tags=73%, list=16%, signal=61%","68240/67967/26909/106344/18538/18971/16881/17688/18861/72151/69263/17350/19718/19891/18972/68275"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",177,-0.45824321491196,-1.82497144604278,3.78869186242868e-06,5.63137381370082e-05,3.98809669729335e-05,1756,"tags=32%, list=13%, signal=28%","22335/19246/13850/22334/66142/407785/70316/18709/68202/66925/69875/12864/17995/19353/11651/14866/66046/226646/105675/67003/53859/68349/68375/225887/333182/17993/11431/67264/66218/17992/67530/11652/12858/12866/66108/227197/104130/67184/12861/68342/66945/66414/11740/67680/66052/12859/11739/66916/110323/230075/66445/66594/22273/72900/66091/68198"
"mmu00600","Sphingolipid metabolism",42,0.650949517380871,2.17516559657155,4.42777143383793e-06,6.21641713753479e-05,4.40241999117223e-05,2555,"tags=52%, list=20%, signal=42%","22234/14420/74442/11886/56336/70750/15212/11883/81535/11605/15211/20397/18010/19156/76893/20698/12091/20773/241447/67630/14667/66190"
"mmu04914","Progesterone-mediated oocyte maturation",80,-0.55560363031403,-1.98223075387676,4.56250799085122e-06,6.21641713753479e-05,4.40241999117223e-05,2516,"tags=45%, list=19%, signal=37%","15516/19094/432530/52206/66156/16000/17222/56317/18709/11513/12428/11651/18817/69010/268930/268697/20878/66440/11514/11652/12442/12532/110033/12530/56150/69957/12534/14678/56371/12531/59008/17120/75430/18747/12566/52563"
"mmu05171","Coronavirus disease",176,0.417492932361078,1.77178183666591,5.34975056349319e-06,6.99747373704909e-05,4.95555841670948e-05,2213,"tags=22%, list=17%, signal=19%","21898/11491/22371/16151/16193/13649/14962/56489/24088/16451/20847/16194/20296/317677/12266/16195/74145/22034/15945/56480/16476/266632/50908/23961/16391/667277/50909/18751/17392/15976/12675/16150/54721/20848/17857/17174/142980/18708/15975"
"mmu04114","Oocyte meiosis",100,-0.524406528773521,-1.93735315432442,6.06317294044619e-06,7.62560596740733e-05,5.40039695100471e-05,2494,"tags=41%, list=19%, signal=33%","12234/19094/432530/54401/52206/66156/16000/22630/17222/22627/12448/12323/56317/12314/11513/18817/69010/268930/51792/268697/20878/66440/11514/107995/105988/12442/12532/12447/12315/56150/69957/12534/30939/59008/17120/75430/21770/18747/12566/52563/19045"
"mmu04621","NOD-like receptor signaling pathway",133,0.444683021278364,1.81821035242425,7.22519546722315e-06,8.75051451030359e-05,6.19704874381713e-05,2620,"tags=38%, list=20%, signal=30%","71914/21898/59027/16439/12363/16151/69538/16193/56489/14468/16451/20847/20296/18439/12796/22034/19766/14825/56480/13030/16476/67526/266632/18795/23961/16391/54396/15951/11796/16440/15976/12675/16150/20304/67443/216877/54721/21353/56338/21929/15975/229898/26420/58800/14469/54123/13058/55991/56486/106759"
"mmu04610","Complement and coagulation cascades",48,0.613855893892162,2.12109229903142,8.4375681922722e-06,9.85387428168932e-05,6.97843985827024e-05,2147,"tags=48%, list=16%, signal=40%","13136/16414/22371/16644/12628/18788/14962/317677/12266/385643/74145/21824/50908/20720/667277/50909/14068/19124/21788/17174/12062/12258/12759"
"mmu04141","Protein processing in endoplasmic reticulum",156,0.422317287425783,1.77660022052829,1.0211190317202e-05,0.000115139973576726,8.15412656909052e-05,2639,"tags=36%, list=20%, signal=29%","12330/226641/20338/22027/14828/14827/13666/72265/74126/13418/192193/320011/12282/66753/100037258/18415/18024/12317/17155/15505/71853/67838/64209/11911/17872/13198/116891/67075/12304/67819/22393/216440/54609/27061/108159/66397/140740/22433/103963/18453/108687/107513/80286/77371/68292/81910/78943/270669/26420/50762/193670/19089/66059/66530/12915/67128"
"mmu04260","Cardiac muscle contraction",64,-0.57095711060719,-1.97182472906602,1.54661288802308e-05,0.000165499260019242,0.000117205334634583,2713,"tags=48%, list=21%, signal=39%","140781/66576/56808/66694/12292/12867/11932/21924/17906/21956/11928/17896/66142/11464/12864/22004/67003/11931/333182/67530/22003/12858/12866/12861/59069/12859/110323/66445/326618/66594/22273"
"mmu04723","Retrograde endocannabinoid signaling",98,-0.512213346118447,-1.88471051694764,1.61956462404152e-05,0.000165499260019242,0.000117205334634583,2434,"tags=43%, list=19%, signal=35%","19094/14401/432530/68194/12292/68197/14688/14700/66377/23945/18752/407785/70316/68202/11513/69875/17995/66046/226646/14693/68349/68375/225887/17993/67264/66218/17992/11514/66108/227197/104130/67184/14678/68342/66414/14696/66916/230075/18747/72900/66091/68198"
"mmu04140","Autophagy - animal",152,0.425342511856779,1.7880084569957,1.57907186988507e-05,0.000165499260019242,0.000117205334634583,3632,"tags=48%, list=28%, signal=35%","12421/16784/52187/100504663/13666/15251/17966/12176/237782/329015/13033/22034/16783/56480/13030/16001/67526/26395/22241/72145/13039/353047/54170/64930/51897/74302/218035/242557/18412/217695/12633/67443/18607/54636/53331/100502841/29869/19338/21353/27103/19349/228545/384783/67474/18708/67790/78943/26420/78610/18518/76559/66922/56486/75909/66795/56208/69635/105787/269338/12048/18706/213948/12043/74747/71648/56717/16334/74781/22190/18176/207565/245860/57436"
"mmu00020","Citrate cycle (TCA cycle)",28,-0.713755516157571,-2.0973623728483,2.45795306335428e-05,0.000243560803550561,0.000172487934270476,1517,"tags=57%, list=12%, signal=51%","66925/18293/17449/17448/11428/15929/269951/12974/11429/67834/78920/66945/14194/56451/67680/66052"
"mmu03420","Nucleotide excision repair",57,-0.590088477322999,-2.00610491351562,2.65232714821724e-05,0.000255091463960893,0.000180653861488481,2109,"tags=39%, list=16%, signal=33%","68240/69920/67967/17420/18974/17749/106344/13194/18973/18538/231329/18971/16881/72151/69241/28015/69263/19718/19891/59001/18972/68275"
"mmu04620","Toll-like receptor signaling pathway",82,0.488178758043758,1.83560645951847,3.01946557313261e-05,0.000282104354975533,0.000199784188297496,2620,"tags=44%, list=20%, signal=35%","21898/16151/20302/26410/16193/17087/56489/24088/16451/20847/22034/15945/19766/56480/21939/16476/266632/26395/16391/12475/20750/15976/12675/117149/16150/20304/54721/20303/142980/18708/15975/54473/26420/54123/13038/106759"
"mmu04148","Efferocytosis",130,0.417486584879074,1.69752926271691,6.27759258860304e-05,0.000570214660131443,0.000403821745465692,3133,"tags=42%, list=24%, signal=32%","50770/70686/11491/11502/12642/16971/16889/19219/171285/19261/15251/319520/16423/12608/18514/16452/243958/20501/12317/20525/22259/26395/271457/19225/16419/73122/209018/14083/18218/20698/218035/11303/16416/11846/11487/53357/19349/22260/228545/53313/12215/55991/11938/19128/108058/269338/11689/13609/330662/93759/18442/13436/69981/18021"
"mmu03015","mRNA surveillance pathway",85,-0.513443280639247,-1.85003564841178,7.43319187421555e-05,0.000656933444018509,0.00046523533778874,2156,"tags=31%, list=16%, signal=26%","192160/56488/13680/52432/51796/17149/68092/77305/54196/70248/51792/192170/68219/230908/433702/60365/20220/229512/105083/74412/21770/67337/21681/233908/53817/19045"
"mmu03440","Homologous recombination",37,-0.627469582150476,-1.95360126190876,0.000105064816704178,0.000904110396375424,0.000640284201521304,3137,"tags=59%, list=24%, signal=45%","233826/12144/12189/623474/17535/12021/19363/71711/68240/67967/68251/237911/235559/19366/114714/268465/57434/18971/19361/19891/18972/68275"
"mmu03460","Fanconi anemia pathway",48,-0.581981027518717,-1.90932075988764,0.000230381940503159,0.00193166396268034,0.00136798993011323,3137,"tags=52%, list=24%, signal=40%","233826/230484/12144/12189/15205/208836/13870/237211/14087/71711/68240/237911/114714/268465/211651/71885/19361/18861/67196/17350/101831/223970/19891/80905/68275"
"mmu05166","Human T-cell leukemia virus 1 infection",191,-0.399467922440436,-1.5983113729747,0.000247555855238664,0.00202376911657608,0.00143321810927647,2284,"tags=31%, list=17%, signal=26%","17701/12257/52206/23871/66156/17127/15461/17222/12448/22335/56317/22334/18709/21808/11513/12428/11651/18018/69010/53859/21813/70549/66440/11514/11652/20850/107995/20851/105988/12442/21423/12236/16168/12447/21809/56150/12443/69957/20807/18034/12445/30939/59008/11740/71810/12580/22059/11739/17120/75430/21803/18747/12566/52563/19385/12237/382056/19384/26427"
"mmu05417","Lipid and atherosclerosis",165,0.375628438946624,1.59300038061008,0.000256189627645084,0.00204326849365713,0.0014470274218721,3289,"tags=39%, list=25%, signal=30%","226641/21898/22027/14828/57257/16151/13666/20302/22359/16193/17087/56489/24088/20296/18024/16452/22034/13110/14825/56480/21939/16476/266632/18795/19878/11911/13198/17392/12475/76580/20656/14083/11303/12675/117149/22433/56637/16150/20304/16835/18607/20848/21353/18127/18708/19057/78943/26420/215449/54123/13058/106759/12122/20344/12368/16160/108058/68652/12048/18021/21937/19697/18706/12043/19016"
"mmu05414","Dilated cardiomyopathy",83,-0.490318537977117,-1.76546729394347,0.000368571843499162,0.00286921416634922,0.00203195595234775,2807,"tags=40%, list=21%, signal=31%","13138/24053/14683/140781/56808/16772/432530/12292/319480/16000/21924/17906/21956/11464/241226/21808/11513/22004/12391/11465/16402/104099/11514/22003/16400/21809/13726/59069/21803/326618/16905/18747/11461"
"mmu04657","IL-17 signaling pathway",69,0.478001232883439,1.74032404082177,0.000377297275697298,0.00286921416634922,0.00203195595234775,1821,"tags=39%, list=14%, signal=34%","22027/17386/16151/16193/56489/332110/16819/20296/20201/12608/22034/15945/14825/56480/50772/16476/103213/20292/20311/19225/17392/20306/12675/16478/56637/16150/14283"
"mmu05410","Hypertrophic cardiomyopathy",82,-0.481595184141509,-1.72753967955,0.0005536858697699,0.00411489271397176,0.00291413615668369,2807,"tags=39%, list=21%, signal=31%","13138/24053/140781/56808/16772/19082/12292/319480/16000/21924/17906/21956/108099/11464/241226/21808/108097/22004/12391/11465/16402/104099/22003/16400/21809/13726/19079/59069/21803/326618/16905/11461"
"mmu04066","HIF-1 signaling pathway",96,0.421929197724427,1.64135530271783,0.00063223203566207,0.00459421945914438,0.00325359176247147,3563,"tags=50%, list=27%, signal=37%","16337/21898/13807/22339/112407/16193/15251/15277/13649/18126/16194/170768/20525/16001/112405/17346/26395/11676/328572/18751/15368/56421/13819/13685/20848/228026/12576/18127/18708/11674/18655/15979/13058/17000/18641/14433/108058/13645/19697/18706/12043/21687/56717/112406/16334/353204/16828/11601"
"mmu01232","Nucleotide metabolism",71,-0.498250287192222,-1.74325869448528,0.000646833329565806,0.00459814127756562,0.00325636916486218,1308,"tags=27%, list=10%, signal=24%","11637/68106/11636/11564/16434/20135/21877/56248/11486/110074/109674/20133/11534/105446/21915/66422/18102/22171/23918"
"mmu04659","Th17 cell differentiation",72,0.437499976322342,1.61203852611794,0.00140592895624939,0.00957789101444897,0.00678299057839618,2492,"tags=38%, list=19%, signal=31%","21812/16180/19883/16151/19885/16193/15251/16451/16194/16195/16452/16453/16476/16190/16177/12675/14462/16150/54721/20848/16161/19057/26420/11622/15979/16818/17128"
"mmu04380","Osteoclast differentiation",103,0.402050647443046,1.57573189064558,0.00139621799446486,0.00957789101444897,0.00678299057839618,2646,"tags=38%, list=20%, signal=30%","21812/14360/16439/21682/17342/16175/14284/16151/19261/16451/20847/22034/14389/16476/26395/16391/83433/14728/17060/12702/16177/16440/15976/12675/16478/18412/16416/16150/54721/14283/18708/53313/15975/19057/26420/15979/16818/13038/11938"
"mmu05323","Rheumatoid arthritis",54,0.481409645069336,1.70180411375595,0.00157328192044552,0.0102532814039771,0.0072612969865603,1338,"tags=37%, list=10%, signal=33%","21898/16175/16414/22339/20302/20315/16193/12487/24088/20296/11964/14825/66335/11966/16476/20311/13039/114143/17392/54411"
"mmu04261","Adrenergic signaling in cardiomyocytes",116,-0.431657869773093,-1.62229494738067,0.00159913563181294,0.0102532814039771,0.0072612969865603,2769,"tags=34%, list=21%, signal=27%","14683/140781/73086/56808/19094/432530/56508/12292/11932/381290/21924/17906/11548/52432/12323/21956/11928/17896/12314/11464/11513/22004/11651/11550/51792/11931/11514/11652/22003/12315/64082/14678/59069/21770/326618/18747/11555/19045/26427"
"mmu04060","Cytokine-cytokine receptor interaction",149,0.358440950531541,1.50076035882586,0.00155458718294177,0.0102532814039771,0.0072612969865603,2631,"tags=33%, list=20%, signal=27%","21812/16180/18414/16175/77125/20302/12778/20315/16193/16165/57349/16194/20296/20307/16195/15945/14825/23886/12983/21939/16170/16164/21942/57914/11480/20292/20311/20306/11479/16190/16177/12768/15976/20304/20303/53603/16161/16992/15975/16155/15979/12168/69583/14600/240873/12984/21950/17000/16847"
"mmu04530","Tight junction",127,-0.419132637599679,-1.59274928173121,0.00175285322666313,0.0110227500984393,0.00780622894465364,2034,"tags=29%, list=16%, signal=25%","22145/17906/21873/52432/105782/67268/56378/108099/22142/108097/22146/19353/58220/11465/68328/18538/51792/76709/93737/74094/216459/22143/242894/109711/60595/70737/17886/12443/19079/67771/83964/22323/98932/18747/17904/11461/68089"
"mmu05204","Chemical carcinogenesis - DNA adducts",32,0.579395918489571,1.80933762826238,0.00224455859844206,0.0138485030507652,0.00980740599120663,2891,"tags=53%, list=22%, signal=41%","13113/15483/14857/56615/211666/14858/19225/14859/68214/13849/394435/14860/14862/394432/94284/14870/14869"
"mmu05332","Graft-versus-host disease",17,0.67637059186187,1.85267173277491,0.00254501023578222,0.0154114508722368,0.0109142739156353,2132,"tags=41%, list=16%, signal=35%","16175/16193/12487/15007/15040/15015/15006"
"mmu03082","ATP-dependent chromatin remodeling",84,-0.454361223162694,-1.63606307408755,0.00287263837167477,0.0169006672764065,0.011968925803346,1610,"tags=26%, list=12%, signal=23%","57376/107932/83796/23942/17192/20174/66993/11465/51812/13445/234366/56397/20586/433759/56456/12055/19708/59001/19646/56505/245688/11461"
"mmu03008","Ribosome biogenesis in eukaryotes",70,-0.467794087190997,-1.63080732830394,0.00289430387608184,0.0169006672764065,0.011968925803346,2323,"tags=21%, list=18%, signal=18%","213773/69961/56488/102216272/14791/66161/14113/245474/13001/52530/67134/68147/67724/117109/19384"
"mmu05140","Leishmaniasis",53,0.467097145202233,1.64434278778117,0.00323711048124406,0.0185707917081896,0.0131516953993295,1195,"tags=25%, list=9%, signal=22%","21898/16175/16414/18126/24088/16451/12266/16452/22034/16476/266632/19225/18751"
"mmu05100","Bacterial invasion of epithelial cells",63,-0.486424359961097,-1.67573788551109,0.00343723597668566,0.0193788993857968,0.0137239911954782,2583,"tags=38%, list=20%, signal=31%","56443/13043/622434/14388/74117/22330/56378/103967/18709/19353/12391/11465/242687/76709/12927/16402/12385/242894/12389/67771/83767/16202/11461/68089"
"mmu00100","Steroid biosynthesis",16,0.667723629330247,1.78251457384763,0.00379611933460525,0.0210395088545071,0.0149000223659796,2245,"tags=50%, list=17%, signal=41%","15490/16889/20775/66234/16987/73166/14137/13115"
