"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008"
"Usp46",9.59432460392485,10.4938554492408,10.4888443464573,10.5264992391366,10.3398500028846,9.45738087907253,10.6054795180617,10.4573808790725
"Usp47",11.7317432907078,12.9112047099772,12.5213550625583,12.8724825081067,12.7336509168387,12.0216740428584,13.1655351413779,12.8599229728618
"Usp48",10.7304701371842,11.7304701371842,11.5464121951194,11.6860627498954,11.6515002206527,10.65999589243,11.6750749203854,11.5377037479076
"Usp49",7.90689059560852,8.77478705960117,8.5274770060604,8.81698362325538,8.467605550083,7.68650052718322,9.04984854945056,8.75822321472672
"Usp5",11.9794251953315,12.9063269327606,13.118292233027,12.9425145053392,12.9153192176791,11.7565563225241,12.8462739113499,13.0077281146323
"Usp53",6.65821148275179,8.64385618977473,7.92481250360578,7.82017896241519,8.23840473932508,7.14974711950468,8.62935662007961,7.93663793900257
"Usp54",8.88874324889826,9.90839262077375,9.7279204545632,9.87958324961278,9.97154355395077,8.90388184573618,10,9.88874324889826
"Usp6nl",9.25029841790633,10.2934716488381,9.8073549220576,10.1786648510065,10.2796105810525,9.15228484230658,10.3465137331656,10.007027266894
"Usp7",11.1299269335104,12.129283016945,12.0213270326244,12.2917462808339,12.1586096882145,11.3404064908533,12.4062050054189,12.2888660741658
"Usp8",10.664447284548,11.9454438363779,11.6229669447905,11.8853150610494,11.90989308377,11.0279059965699,12.1764848472919,11.9053870050181
"Usp9x",10.6156296369681,12.5228266999258,11.4455322190283,11.8085620299575,11.6865005271832,11.102631888855,12.7698378436294,11.7972562175098
"Uspl1",9.70390357344466,10.5989829710361,10.8008998999203,10.6865005271832,10.612868497291,9.78135971352466,10.7030383889864,10.7082217300384
"Ust",9.56033283421244,10.3531468254981,10.3717766443379,10.4241662888181,10.6375305515253,9.57742882803575,10.2842457498297,10.2749604721406
"Utp11l",9.7632123668144,10.6348110501717,10.9844184588011,10.8887432488983,10.8305152069768,9.96289600533726,10.8665062122262,11.004922678569
"Utp14a",9.34872815423108,10.0914353863236,10.4040771362412,10.3331553503106,10.4136279290242,9.52552080909507,10.3208005488816,10.4553272203046
"Utp14b",7.24792751344359,8.51963625284321,8.01122725542325,8.38370429247405,8.17492568250068,7.6724253419715,8.99435343685886,8.34872815423108
"Utp15",9.36632221424582,10.2300204357056,10.2656150464845,10.3782948559119,10.3641346550081,9.30606168942834,10.3253054550897,10.3420746679991
"Utp18",9.99859042974533,10.8185821774809,10.9844184588011,10.9992953870234,10.9203528554151,10.1006623390052,10.9808536063797,11.0105281058865
"Utp20",10.1382718001722,11.1459321458205,11.2288186904959,11.3281138948337,11.3815429511846,10.1254134704833,11.4563544151083,11.4162697445232
"Utp23",8.82336724004623,9.78626962764847,9.84235034341381,9.65463602852797,9.98441845880114,8.75822321472672,9.71252700043982,9.59618975614441
"Utp3",10.1861142395416,11.0940776856719,11.2094533656289,11.2737955992143,11.319672120947,10.4481163054095,11.3009244909763,11.3592004851336
"Utp6",10.8587580999354,11.7714894695006,11.8876014245087,11.9476369379518,11.7793089739599,10.876516946565,12.0664256006356,12.0247933847025
