"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Creb3l4","Group_safe",0.369867894624106,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.740118230836005,-0.434172341151115
"Creb5","Group_safe",0.881207516821015,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.972750789779973,-0.0398578483593033
"Crebbp","Group_safe",0.784000865395955,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.969322173205162,-0.0449518415952728
"Crebl2","Group_safe",0.558613828861927,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.941056621786861,-0.0876465647990686
"Crebrf","Group_safe",0.200464533877381,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.772356001820765,-0.372662113098731
"Crebzf","Group_safe",0.0474221838239658,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.84356692460878,-0.245425565235081
"Creg1","Group_safe",0.977750274864368,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.996661833952246,-0.00482401176603642
"Creg2","Group_safe",0.0486409475803117,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.653293237443705,-0.614197389109618
"Creld1","Group_safe",0.731357210229155,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02385041964549,0.0340049588940056
"Creld2","Group_safe",0.425340256384226,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08646284612527,0.119638839381297
"Crem","Group_safe",0.469077147004261,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.944304563737617,-0.0826758521135055
"Crh","Group_safe",0.81191081155426,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.897761649954424,-0.15559562550211
"Crhbp","Group_safe",0.96137390320463,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.978857589472084,-0.030829112389472
"Crim1","Group_safe",0.325690426601542,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.912224026201269,-0.132539926418348
"Crip1","Group_safe",0.698788052203671,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02845623065443,0.0404803965254904
"Crip2","Group_safe",0.258166705863999,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07762594472532,0.107856490393147
"Crip3","Group_safe",0.932684282024516,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0960828461265,0.13235684681924
"Cript","Group_safe",0.995786991153301,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00023725411283,0.000342244734123662
"Crisp2","Group_safe",0.894281395243017,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0877918803419,0.121402562176951
"Crispld1","Group_safe",0.787741079677415,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.843919651339687,-0.244822446822014
"Crispld2","Group_safe",0.419355338039786,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.33638525948648,0.418335974748229
"Crk","Group_safe",0.0868327842610402,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.882637120813233,-0.180107671290892
"Crkl","Group_safe",0.726453400907992,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.985670606903524,-0.0208224900507327
"Crlf1","Group_safe",0.431801195703655,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0946105863711,0.130417714546062
"Crlf2","Group_safe",0.780419900704979,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.96672438377483,-0.0488234635499546
"Crlf3","Group_safe",0.660427965867472,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.972920555603524,-0.0396060891781316
"Crls1","Group_safe",0.696269989503801,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.981486181963709,-0.026960138304181
"Crmp1","Group_safe",0.717277575498336,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.24289304514174,0.313702153282951
"Crnde","Group_safe",0.631889542585536,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06851601471573,0.0956085309999039
"Crnkl1","Group_safe",0.0675317799193957,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.859545339504572,-0.218354353551435
"Crocc","Group_safe",0.0485059927259659,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.2253113786017,0.293148416395821
"Crot","Group_safe",0.390106838130591,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.95016161483333,-0.073755169772137
"Crtap","Group_safe",0.316431726143387,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06673796538553,0.0932058345825633
"Crtc1","Group_safe",0.0582982472053972,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.12143621334146,0.16534756307862
"Crtc2","Group_safe",0.838136645732773,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.990714300278369,-0.0134590183002597
"Crtc3","Group_safe",0.353991421465839,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04597269382067,0.0648451890574065
"Cry1","Group_safe",0.848991772633546,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.979830802580449,-0.0293954490804885
"Cry2","Group_safe",0.40447001271253,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06609221299159,0.0923322312227793
"Cryaa","Group_safe",0.441827720657007,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.267134535378699,-1.90436159402179
"Cryab","Group_safe",0.53044141398732,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0531742176912,0.0747441089269889
"Cryba4","Group_safe",0.804644907828884,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05041698415731,0.0709621484201969
"Crybb1","Group_safe",0.76366803808573,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.17078042340778,0.22747052779077
"Crybb3","Group_safe",0.751942690336979,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.903155733666294,-0.146953317794544
"Crybg3","Group_safe",0.212966136689559,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.867499704201128,-0.205064829124577
"Crygn","Group_safe",0.441827720657007,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.267134535378699,-1.90436159402179
"Crygs","Group_safe",0.87540759422917,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.834996111293615,-0.260158616139572
"Cryl1","Group_safe",0.127769129555111,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.18584426533942,0.245914555942009
"Crym","Group_safe",0.450297945983479,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.853501801754526,-0.228533896081243
"Cryz","Group_safe",0.0469703256658987,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09351860506397,0.128977766527007
"Cryzl1","Group_safe",0.87390682570804,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0117913940784,0.0169118732821256
"Cs","Group_safe",0.17430473220854,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07631270341247,0.106097288044533
"Csad","Group_safe",0.166261357733762,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09391184465971,0.12949647999818
"Csdc2","Group_safe",0.778896227991619,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04078658563466,0.057674272853334
"Csde1","Group_safe",0.0286021746255079,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.80382794255922,-0.315041365847339
"Cse1l","Group_safe",0.842633294898752,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.985684153067224,-0.0208026630935661
"Csf1","Group_safe",0.354197605167827,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06808558341244,0.0950272517238309
"Csf1r","Group_safe",0.790137176902392,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.954389279557688,-0.0673502572354281
"Csf2","Group_safe",0.413937181655369,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.480758067714121,-1.05661702691451
"Csf2ra","Group_safe",0.292220741014553,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.743537631092689,-0.427522334698511
"Csf2rb","Group_safe",0.202526522249932,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.455151069044655,-1.13558262564577
"Csf2rb2","Group_safe",0.854459821882459,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.916315662562705,-0.126083415382442
"Csf3","Group_safe",0.254153133369857,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.29555408194456,-1.75850594886968
"Csgalnact1","Group_safe",0.223609214515691,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.860353922188584,-0.216997834201377
"Csgalnact2","Group_safe",0.12587417065183,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.845178539929705,-0.242671958861607
"Csk","Group_safe",0.19771197526166,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05739899902788,0.0805198661248555
"Csl","Group_safe",0.852191182553833,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.16659500715596,0.222303804768552
"Csmd1","Group_safe",0.818997563156237,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08580970920317,0.118771289474066
"Csmd2","Group_safe",0.499753760364161,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.55369139906507,1.35258419303653
"Csmd3","Group_safe",0.727464807206404,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.74911996107625,-0.416731330286224
"Csn3","Group_safe",0.684646729708801,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.750272003772394,-0.414514369477249
"Csnk1a1","Group_safe",0.609721493602571,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.962188042581696,-0.0556092241881589
"Csnk1d","Group_safe",0.557207179013012,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02629431285556,0.0374445153592601
"Csnk1e","Group_safe",0.112476875362627,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.943428143010099,-0.0840154569459574
"Csnk1g1","Group_safe",0.252803374658242,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.908631006347037,-0.13823355777373
"Csnk1g2","Group_safe",0.219866785476792,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05822486809287,0.0816462263285992
"Csnk1g3","Group_safe",0.384859504349902,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.925157621699009,-0.112228912316785
"Csnk2a1","Group_safe",0.357762209343955,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.949656435956838,-0.0745224212220865
"Csnk2a2","Group_safe",0.486847308148108,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.958356725138451,-0.0613653305813099
"Csnk2b","Group_safe",0.70080707446661,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0170090154101,0.0243324682119189
"Cspg4","Group_safe",0.933477021354541,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994502647726195,-0.0079528828465771
"Cspg5","Group_safe",0.323732353042013,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.576952267290274,-0.793476128862646
"Cspp1","Group_safe",0.0738246454259473,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.775025173297234,-0.367684924111752
"Csrnp1","Group_safe",0.13473144074054,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.14177950084039,0.191284065973153
"Csrnp2","Group_safe",0.848911935732692,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.989113222916565,-0.0157924204238632
"Csrnp3","Group_safe",0.944160604183872,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.946179410945293,-0.0798143270311245
"Csrp1","Group_safe",0.279058710207189,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.1060058525435,0.145359019761718
"Csrp2","Group_safe",0.578891003170067,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06950051854097,0.0969371819852376
"Csrp2bp","Group_safe",0.602836874657588,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02750709173836,0.0391483512601942
"Csrp3","Group_safe",0.56993067158301,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.925027294204149,-0.112432159926494
"Cst3","Group_safe",0.376163839317185,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09024607256187,0.124653793349382
"Cst6","Group_safe",0.727896138076338,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04409664267557,0.0622552554479144
"Cstad","Group_safe",0.70349201505562,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.879757176475617,-0.184822717315032
"Cstb","Group_safe",0.938164063063041,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.991021787729263,-0.0130113193086687
"Cstf1","Group_safe",0.237093144047652,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07122573955891,0.0992625314655364
"Cstf2","Group_safe",0.106760640947251,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.868274815591947,-0.203776355971816
